Label,n_target_samples ,n_shifted_proteins,others_sd,others_mean,shift_multiplier
1,5,1,0.94,0.96,2.28
2,5,1,0.94,1.96,2.28
3,5,1,0.94,2.96,2.28
4,5,1,0.94,3.96,2.28
5,5,1,0.94,4.96,2.28
6,5,3,0.94,0.96,2.28
7,5,3,0.94,1.96,2.28
8,5,3,0.94,2.96,2.28
9,5,3,0.94,3.96,2.28
10,5,3,0.94,4.96,2.28
11,5,5,0.94,0.96,2.28
12,5,5,0.94,1.96,2.28
13,5,5,0.94,2.96,2.28
14,5,5,0.94,3.96,2.28
15,5,5,0.94,4.96,2.28
16,5,10,0.94,0.96,2.28
17,5,10,0.94,1.96,2.28
18,5,10,0.94,2.96,2.28
19,5,10,0.94,3.96,2.28
20,5,10,0.94,4.96,2.28
21,14,1,0.94,0.96,2.28
22,14,1,0.94,1.96,2.28
23,14,1,0.94,2.96,2.28
24,14,1,0.94,3.96,2.28
25,14,1,0.94,4.96,2.28
26,14,3,0.94,0.96,2.28
27,14,3,0.94,1.96,2.28
28,14,3,0.94,2.96,2.28
29,14,3,0.94,3.96,2.28
30,14,3,0.94,4.96,2.28
31,14,5,0.94,0.96,2.28
32,14,5,0.94,1.96,2.28
33,14,5,0.94,2.96,2.28
34,14,5,0.94,3.96,2.28
35,14,5,0.94,4.96,2.28
36,14,10,0.94,0.96,2.28
37,14,10,0.94,1.96,2.28
38,14,10,0.94,2.96,2.28
39,14,10,0.94,3.96,2.28
40,14,10,0.94,4.96,2.28
41,3,1,0.94,0.96,2.28
42,3,1,0.94,1.96,2.28
43,3,1,0.94,2.96,2.28
44,3,1,0.94,3.96,2.28
45,3,1,0.94,4.96,2.28
46,3,3,0.94,0.96,2.28
47,3,3,0.94,1.96,2.28
48,3,3,0.94,2.96,2.28
49,3,3,0.94,3.96,2.28
50,3,3,0.94,4.96,2.28
51,3,5,0.94,0.96,2.28
52,3,5,0.94,1.96,2.28
53,3,5,0.94,2.96,2.28
54,3,5,0.94,3.96,2.28
55,3,5,0.94,4.96,2.28
56,3,10,0.94,0.96,2.28
57,3,10,0.94,1.96,2.28
58,3,10,0.94,2.96,2.28
59,3,10,0.94,3.96,2.28
60,3,10,0.94,4.96,2.28
